150000	2900	210000	2500    270000  2000	TOTAL
1000	63	1400	43	2000	15	descent
9000	90	9000	80	9000	70	dance2
800	100	1000	90	1200	80	snow
1100	126	2000	110	3000	100	drive1
3700	127	4500	100	5500	90	glasstower
1100	147	1600	135	2000	95	scrambling
2300	169	3000	125	5000	100	trust
1000	120	1200	100	1400	60	loop1
4000	129	6000	100	8000	80	maze1
1500	182	1600	170	1700	160	up
3700	121	4200	120	5000	119	circuit2
700	114	1500	80	3000	40	comeback
4000	94	5000	70	6000	50	maze2
1000	118	1500	90	2000	70	earthquake
3000	68	4000	58	5000	48	circuit1
4100	114	5000	74	6000	64	turn
3400	146	4000	120	5000	100	assault
4300	109	5000	100	5500	90	narrow
2100	110	3000	100	4000	80	loop2
3300	75	3800	65	4500	55	drive2
3300	175	5000	160	7000	140	running
3600	117	4500	100	6000	80	bombman
5300	150	6000	130	7000	100	climb
9000	90	9000	70	9000	50	dance1
9000	0	9000	0	9000	0	hard
